ToolID	type	stackSize	price	EN	FR	DE	ES	BR	CN	JP	RU
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											

PLACEABLES	type	stackSize	price	EN	FR	DE	ES	BR	CN	JP	RU
											
bridge	placeable	100	10	Bridge{desc}Place to cross water, holes in dungeons, and gaps between islands.	Pont{desc}Place des ponts pour franchir l'eau ainsi que les obstacles dans les donjons et pour relier deux îles entre elles.	Brücke{desc}Platziere sie, um Wasser, Löcher in Verliesen und Abstände zwischen Inseln zu überqueren.	Puente{desc}Lugar por el que cruzar el agua, las grietas de las mazmorras y la distancia entre islas.	Ponte{desc}Coloque para atravessar água, buracos em masmorras e espaços entre ilhas.	桥{desc}放置桥，即可跨越水体、地下城中的裂洞以及岛屿之间的缝隙。	橋{desc}設置すると、水面、ダンジョンの穴、島と島のあいだのすき間を渡れる。	Мост{desc}Стройте мосты, чтобы пересекать водные препятствия, провалы в подземельях и передвигаться между островами.
fenceWood	placeable	100	5	Wood Fence{desc}Wild Spirits don't spawn in areas enclosed by fence.	Clôture en bois{desc}Les esprits sauvages n'apparaissent pas dans les zones clôturées.	Holzzaun{desc}Wilde Geister erscheinen nicht in Bereichen, die von einem Zaun umschlossen sind.	Valla de madera{desc}Los espíritus silvestres no aparecen en una zona rodeada de vallas.	Cerca de Madeira{desc}Espíritos Selvagens não aparecem em áreas fechadas por cercas.	木栅栏{desc}栅栏围住的区域内不会生成野生精灵。	木の柵{desc}柵で囲まれたエリアには野生の精霊が出現しない。	Деревянный Забор{desc}Дикие Духи не появляются в огороженных зонах.
fenceStone	placeable	100	5	Stone Fence{desc}Wild Spirits don't spawn in areas enclosed by fence.	Clôture en pierre{desc}Les esprits sauvages n'apparaissent pas dans les zones clôturées.	Steinmauer{desc}Wilde Geister erscheinen nicht in Bereichen, die von einer Mauer umschlossen sind.	Valla de piedra{desc}Los espíritus silvestres no aparecen en una zona rodeada de vallas.	Cerca de Pedra{desc}Espíritos Selvagens não aparecem em áreas fechadas por cercas.	石栅栏{desc}栅栏围住的区域内不会生成野生精灵。	石の柵{desc}柵で囲まれたエリアには野生の精霊が出現しない。	Каменный Забор{desc}Дикие Духи не появляются в огороженных зонах.
gate	placeable	100	30	Gate{desc}Allows entry/exit to areas enclosed by fence.	Portail{desc}Permet d'entrer dans les zones clôturées et d'en sortir.	Tor{desc}Erlaubt das Betreten/Verlassen von Bereichen, die von einem Zaun oder einer Mauer umschlossen sind.	Puerta{desc}Permite entrar o salir de una zona rodeada por vallas.	Portão{desc}Permite entrada/saída de áreas fechadas por cerca.	门{desc}用来进出栅栏围住的区域。	門{desc}柵で囲まれたエリアに出入りができる。	Ворота{desc}Обеспечивают вход/выход в огороженные зоны.
chest	placeable	100	50	Chest{desc}Stores items.	Coffre{desc}Permet d'entreposer des objets.	Truhe{desc}Enthält verschiedene Dinge.	Cofre{desc}Guarda objetos.	Baú{desc}Armazena itens.	箱子{desc}储存物品。	箱{desc}アイテムを保管できる。	Сундук{desc}Хранит вещи.
mailbox	placeable	100	50	Mailbox{desc}Conveniently receives mail wherever you place it!	Boîte à lettres{desc}Permet de recevoir ton courrier là où tu la places.	Briefkasten{desc}Hier landet deine Post, wo immer du ihn platzierst.	Buzón{desc}¡Colócalo donde tú quieras para recibir el correo!	Caixa de Correio{desc}Recebe correspondência de forma prática em qualquer lugar que a colocar!	邮箱{desc}无论将其放置在哪里都能收到邮件！	郵便受け{desc}郵便物を受け取れる。どこにでも設置可能！	Почтовый Ящик{desc}Получает почту, где бы вы его ни установили. Удобно!
calendar	placeable	100	50	Calendar{desc}Days. Weeks. Months. Birthdays. Its got it all.	Calendrier{desc}Les jours, les semaines, les mois, les années. Tout y est.	Kalender{desc}Tage. Wochen. Monate. Geburtstage. Alles drin.	Calendario{desc}Días. Semanas. Meses. Cumpleaños. Lo tiene todo.	Calendário{desc}Dias. Semanas. Meses. Aniversários. Tem de tudo.	日历{desc}日历、周历、月历、生日，有它全搞定。	カレンダー{desc}月、週、日、誕生日。すべてがここに。	Календарь{desc}Дни. Недели. Месяцы. Дни Рождения. Здесь есть всё.
torch	placeable	100	10	Torch{desc}Provides light.	Torche{desc}Que la lumière soit !	Fackel{desc}Bietet Licht.	Antorcha{desc}Fuente de luz.	Tocha{desc}Fornece luz.	火把{desc}提供光照。	たいまつ{desc}明かりを提供してくれる。	Факел{desc}Освещает.
sellCrate	placeable	100	10	Sell Crate{desc}Place anywhere! Sell anything!	Caisse de vente{desc}Place-la où tu veux ! Vends-y ce que tu veux !	Verkaufskiste{desc}Platziere sie überall. Verkaufe alles!	Cofre de ventas{desc}¡Colócalo donde quieras y vende cualquier cosa!	Caixa de Vendas{desc}Coloque em qualquer lugar! Venda qualquer coisa!	售物箱{desc}可放置在任何地方！可售卖任何物品！	出荷箱{desc}どこにでも設置可能！ なんでも売れる！	Торговый ящик{desc}Можно поставить где угодно! Продавать что угодно!
furnace	placeable	100	10	Furnace{desc}Used to smelt ore into ingots and to make ash.	Fourneau{desc}Sert à transformer le minerai en lingots et à fabriquer des cendres.	Hochofen{desc}Wird benutzt, um Erz zu Barren zu gießen und Asche zu erzeugen.	Fragua{desc}Lugar donde se funden minerales para crear lingotes y se produce ceniza.	Fornalha{desc}Usada para fundir minério em barras e para fazer cinzas.	锻造炉{desc}用来融化矿石以获得金属锭，或用来得到灰烬。	かまど{desc}鉱石を溶かしてインゴットを作ったり、灰を作ったりできる。	Печь{desc}Используется для плавки руды в слитки и производства пепла.
furnaceUpgraded	placeable	100	25	Upgraded Furnace{desc}Used to smelt ore into ingots and to make ash. Runs twice as fast as a regular Furnace.	Fourneau amélioré{desc}Sert à transformer le minerai en lingots et à fabriquer des cendres. Fonctionne deux fois plus vite qu'un fourneau classique.	Verbesserter Hochofen{desc}Wird benutzt, um Erz zu Barren zu gießen und Asche zu erzeugen. Funktioniert doppelt so schnell wie ein normaler Hochofen.	Fragua mejorada{desc}Lugar donde se funden minerales para crear lingotes y se produce ceniza. Es el doble de rápida que una fragua normal.	Fornalha Aprimorada{desc}Usada para fundir minério em barras e para fazer cinzas. Trabalha duas vezes mais rápido que uma Fornalha comum.	进阶锻造炉{desc}用来融化矿石以获得金属锭，或用来得到灰烬。锻造速度是普通锻造炉的两倍。	高性能かまど{desc}鉱石を溶かしてインゴットと灰を作れる。通常のかまどより生産速度が2倍。	Улучшенная Печь{desc}Используется для плавки руды в слитки и производства пепла. Вдвое быстрее обычной печи.
workbench	placeable	100	10	Decoration Station{desc}Used to craft decorative items for the home.	Atelier de décoration{desc}Sert à fabriquer des objets décoratifs pour la maison.	Dekorationsstation{desc}Wird benutzt, um dekorative Gegenstände für zu Hause herzustellen.	Banco de decoración{desc}Se usa para crear objetos decorativos para tu casa.	Estação de Decoração{desc}Usada para criar itens decorativos para o lar.	装饰台{desc}用于制作家庭装饰物品。	装飾ステーション{desc}家用の装飾アイテムを作れる。	Верстак декоратора{desc}Используется для создания декоративных предметов для дома.
cauldron	placeable	100	25	Cauldron{desc}Used to brew potions.	Chaudron{desc}Sert à concocter des potions.	Kessel{desc}Wird benutzt, um Tränke zu brauen.	Caldero{desc}Se usa para elaborar pociones.	Caldeirão{desc}Usado para fabricar poções.	坩埚{desc}用于熬煮魔法药水。	大釜{desc}ポーションを作れる。	Котел{desc}Используется для приготовления эликсиров.
alchemyLab	placeable	100	50	Alchemy Lab{desc}Used to brew concoctions.	Labo d'alchimie{desc}Sert à concocter des préparations.	Alchemielabor{desc}Wird benutzt, um Mixturen zu brauen.	Laboratorio de alquimia{desc}Se usa para elaborar brebajes.	Laboratório de Alquimia{desc}Usado para fabricar preparações.	魔法实验室{desc}用于熬煮调制糊糊。	錬金術ラボ{desc}調合物を作れる。	Лаборатория Алхимика{desc}Используется для создания настоек.
enchanter	placeable	100	50	Moonstone Enchanter{desc}Used to craft magical items.	Enchanteur{desc}Sert à fabriquer des objets magiques.	Mondsteinverzauberer{desc}Wird benutzt, um magische Gegenstände herzustellen.	Encantador{desc}Se usa para fabricar objetos mágicos.	Encantador de Selenita{desc}Usado para criar itens mágicos.	月石魔法台{desc}用于制作魔法物品。	ムーンストーンエンチャンター{desc}魔法のアイテムを作れる。	Лунный Зачаровыватель{desc}Используется для создания магических предметов.
anvil	placeable	100	50	Anvil{desc}Used to craft Charms.	Enclume{desc}Sert à fabriquer des amulettes.	Amboss{desc}Wird benutzt, um Talismane herzustellen.	Yunque{desc}Se usa para fabricar amuletos.	Bigorna{desc}Usada para criar armadura.	铁砧{desc}用于制作盔甲。	金床{desc}チャームを作れる。	Наковальня{desc}Используется для создания Амулетов.
compostBin	placeable	100	25	Compost Bin{desc}Used to prepare fertilizers.	Composteur{desc}Sert à préparer de l'engrais.	Kompostbehälter{desc}Wird benutzt, um Dünger zu erzeugen.	Compostador{desc}Se usa para preparar fertilizantes.	Caixa de Compostagem{desc}Usada para preparar fertilizantes.	堆肥桶{desc}用于储备肥料。	コンポスター{desc}肥料を作れる。	Компостер{desc}Используется для приготовления удобрений.
loom	placeable	100	10	Loom{desc}Used to craft custom floor tiles and wallpaper.	Métier à tisser{desc}Sert à fabriquer des dalles de sol et du papier peint personnalisés.	Webstuhl{desc}Wird benutzt, um Bodenfliesen und Tapeten herzustellen.	Telar{desc}Se usa para fabricar baldosas personalizadas y papel pintado.	Tear{desc}Usado para criar placas de pisos personalizados e papéis de parede.	织机{desc}用于制作自定义地块材料和墙纸。	織機{desc}特別な床のタイルや壁紙を作れる。	Ткацкий Станок{desc}Используется для создания напольной плитки и обоев с собственным дизайном.
chestFancy	placeable	100	300	Boss chest{desc}Is Fancy. Stores items.	Coffre de boss{desc}Permet d'entreposer des objets.	Bosstruhe{desc}Enthält verschiedene Dinge.	Cofre de jefe{desc}Guarda objetos.	Baú do Chefe{desc}Armazena itens.	首领箱子{desc}储存物品。	ボスの宝箱{desc}アイテムを保管できる。	Сундук Босса{desc}Роскошен. Хранит вещи.
warpTotem	placeable	1	1	Warp Whistle Totem{desc}When the Warp Whistle is used, the user can choose to warp to this totem instead of the Goddess statue. 	Totem de la flûte de distorsion{desc}Lorsque tu joues de la flûte de distorsion, tu peux choisir d'apparaître au pied de ce totem au lieu d'arriver devant la statue de la déesse.	Warppfeifentotem{desc}Wird die Warppfeife benutzt, kann der Nutzer statt zur Göttinnenstatue zu diesem Totem teleportiert werden.	Tótem de la flauta mágica{desc}Al usar la flauta mágica, puedes escoger entre regresar al tótem o a la estatua de la diosa.	Totem da Flauta Mágica{desc}Quando a Flauta Mágica é usada, o usuário pode escolher se teletransportar para este totem em vez da estátua da Deusa.	跃迁哨图腾{desc}使用跃迁哨时，使用者可选择跃迁到这个图腾而非女神像。	ワープホイッスルのトーテム{desc}ワープホイッスルを使った際、女神の像ではなく、このトーテムへワープできるようになる。	Тотем Перемещения{desc}Когда используется Свисток Перемещения, пользователь может телепортироваться к этому тотему вместо статуи Богини.
juicer	placeable	100	200	Juicer{desc}Can be used to craft powerful juices.	Centrifugeuse{desc}Sert à préparer des jus puissants.	Entsafter{desc}Kann verwendet werden, um mächtige Säfte herzustellen.	Exprimidor{desc}Se usa para hacer zumos poderosos.	Espremedor de Suco{desc}Use-o para criar sucos poderosos.	榨汁机{desc}可以用于制作强效果汁。	ジューサー{desc}強力なジュースを作れる。	Соковыжималка{desc}Используется для создания соков, обладающих мощными эффектами.
											
wallSmall	placeable	100	5	Wittle Wall{desc}It's just a baby!	Petit mur en bois{desc}Petit mur deviendra grand.	Kleine Holzwand{desc}Die ist noch ein Baby!	Pared pequeñita de madera{desc}¡Mírala! ¡Es un bebé!	Parede de Madeira Pititica{desc}Um nenezinho!	细木墙{desc}以后会长大的！	ちいちゃい木の壁{desc}小さなサイズ！	Маленькая Стенка{desc}Совсем ещё малышка!
wallBig	placeable	100	10	Wide Wall{desc}Stout and sturdy	Grand mur en bois{desc}Voilà un mur qui a bien mangé sa soupe.	Große Holzwand{desc}Robust und stabil.	Pared ancha de madera{desc}Fornida y robusta.	Parede de Madeira Larga{desc}Robusta e Resistente.	宽木墙{desc}厚实又牢固。	大きな木の壁{desc}とっても頑丈。	Широкая Стенка{desc}Крепкая и надёжная.
											
windowWood	placeable	100	5	Wood Window{desc}Used to let some light in. 	Fenêtre en bois{desc}Sert à faire entrer la lumière.	Holzfenster{desc}Wird benutzt, um Licht hineinzulassen.	Ventana de madera{desc}Se usa para dejar que entre algo de luz.	Janela de Madeira{desc}Usada para deixar entrar mais luz.	木窗{desc}用来让光照进室内。	木の窓{desc}室内に光を入れられる。	Деревянное Окно{desc}Впускает немного света.
windowStone	placeable	100	5	Stone Window{desc}Used to let some light in. 	Fenêtre en pierre{desc}Sert à faire entrer la lumière.	Steinfenster{desc}Wird benutzt, um Licht hineinzulassen.	Ventana de piedra{desc}Se usa para dejar que entre algo de luz.	Janela de Pedra{desc}Usada para deixar entrar mais luz.	石窗{desc}用来让光照进室内。	石の窓{desc}室内に光を入れられる。	Каменное Окно{desc}Впускает немного света.
windowWhite	placeable	100	5	White Window{desc}Used to let some light in. 	Fenêtre blanche{desc}Sert à faire entrer la lumière.	Weißes Fenster{desc}Wird benutzt, um Licht hineinzulassen.	Ventana blanca{desc}Se usa para dejar que entre algo de luz.	Janela Branca{desc}Usada para deixar entrar mais luz.	白窗{desc}用来让光照进室内。	白い窓{desc}室内に光を入れられる。	Белое Окно{desc}Впускает немного света.
											
bed	placeable	100	10	Bed{desc}Sleepy zone. 	Lit{desc}Coin dodo.	Bett{desc}Hier wird geschlafen.	Cama{desc}Zona para dormir.	Cama{desc}Zona do sono.	床{desc}休憩区。	ベッド{desc}寝るところ。	Кровать{desc}Зона сна.
counter	placeable	100	10	Counter{desc}For chopping. 	Plan de travail{desc}Pour découper.	Küchentresen{desc}Zum Schneiden und Zerkleinern.	Encimera{desc}Para cortar.	Balcão{desc}Para picar.	操作台{desc}切剁区。	カウンター{desc}調理するところ。	Столешница{desc}Для нарезки.
counterSink	placeable	100	25	Sink{desc}For washing. 	Évier{desc}Pour laver.	Spüle{desc}Zum Abspülen von Geschirr.	Fregadero{desc}Para fregar.	Pia{desc}Para lavar.	水池{desc}清洗区。	シンク{desc}洗うところ。	Раковина{desc}Для мытья.
											
pantry	placeable	100	10	Pantry{desc}Bean storage. 	Garde-manger{desc}Pour faire le plein de nourriture.	Vorratskammer{desc}Bohnenlager.	Despensa{desc}Para guardar alubias.	Despensa{desc}Armazenamento de feijão.	食品储藏室{desc}储藏豆子处。	パントリー{desc}豆を保管する。	Кухонный шкафчик{desc}Хранить баночки.
chair	placeable	100	10	Chair{desc}Simple. Comfortable. 	Chaise{desc}Simple et confortable.	Stuhl{desc}Einfach und bequem.	Silla{desc}Sencilla. Cómoda.	Cadeira{desc}Simples. Confortável.	椅子{desc}极简、舒适。	イス{desc}シンプル。快適。	Стул{desc}Простой. Удобный.
chairWicker	placeable	100	10	Wicker Chair{desc}Grandma vibes. 	Chaise en osier{desc}Comme chez les grands-parents.	Schaukelstuhl{desc}Wie bei Oma.	Silla de mimbre{desc}Típica silla de abuela.	Cadeira de Vime{desc}Aquele clima de vó.	藤椅{desc}仿若祖母的陪伴。	やなぎ細工のイス{desc}おばあちゃんっぽい。	Плетёный Стул{desc}Бабушкина энергетика.
library	placeable	100	10	Library{desc}Book stables. 	Bibliothèque{desc}La maison des livres.	Bibliothek{desc}Bücher ohne Ende.	Biblioteca{desc}Establo para libros.	Biblioteca{desc}Casa dos livros.	图书馆{desc}藏书地。	書庫{desc}本がたくさん。	Библиотека{desc}Конюшня для книг.
tableDining	placeable	100	25	Dining Table{desc}Food support. 	Table à manger{desc}Non, elle n'est pas comestible.	Esstisch{desc}Da passt eine Menge Essen drauf.	Mesa de comedor{desc}Soporte para comida.	Mesa de Jantar{desc}Suporte alimentar.	餐桌{desc}食物补给。	ダイニングテーブル{desc}食べ物を食べるところ。	Обеденный Стол{desc}Поддержка для еды.
tableCoffee	placeable	100	10	Coffee Table{desc}Use coasters! 	Table basse{desc}Les dessous de verre ne sont pas fournis.	Kaffeetisch{desc}Bitte Untersetzer benutzen!	Mesita de café{desc}¡No olvides usar posavasos!	Mesa de Centro{desc}Use o porta-copos!	咖啡桌{desc}请使用杯垫！	コーヒーテーブル{desc}コースターを使って！	Журнальный Столик{desc}Используйте бирдекели!
tableBedside	placeable	100	5	Bedside Table{desc}Bed's friend. 	Table de chevet{desc}Chevet bien, tout va bien.	Nachttisch{desc}Bester Freund eines jeden Betts.	Mesita de noche{desc}Amiga de la cama.	Mesa de Cabeceira{desc}Bestie da cama.	床头桌{desc}床之良伴。	ベッドサイドテーブル{desc}ベッドの友だち。	Тумбочка{desc}Прикроватный друг.
tableRound	placeable	100	25	Round Table{desc}Such equality. 	Table ronde{desc}Ce cercle n'a rien d'excentrique.	Rundtisch{desc}Eine runde Sache.	Mesa redonda{desc}Cuánta igualdad.	Mesa Redonda{desc}Beeem democrática.	圆桌{desc}无处不圆滑。	円卓{desc}まさに平等。	Круглый Стол{desc}Чтобы никого не обидеть.
rug	placeable	100	5	Rug{desc}Floor softener. 	Tapis{desc}Pour un sol tout doux.	Teppich{desc}Macht den Boden weicher.	Alfombra{desc}Suaviza el suelo.	Tapete{desc}Afofador de chão.	地毯{desc}给你一片柔软地面。	じゅうたん{desc}床の硬さを軽減してくれる。	Ковёр{desc}Смягчитель для пола.
rugStriped	placeable	100	5	Striped Rug{desc}Stripy, softy. 	Tapis rayé{desc}Une belle alternance de couleurs.	Streifenteppich{desc}Streifig und weich.	Alfombra de rayas{desc}A rayas y suave.	Tapete Listrado{desc}Listrado, macio.	条纹地毯{desc}条纹花样、质地柔软。	ストライプのじゅうたん{desc}しま模様でやわらかい。	Полосатый ковёр{desc}Полосатый, мягкий.
rugPurple	placeable	100	5	Purple Rug{desc}Made of purple. 	Tapis violet{desc}À une lettre près, aurait pu être un tapis violent.	Violetter Teppich{desc}Ultraviolett.	Alfombra violeta{desc}De color violeta.	Tapete Roxo{desc}Feito de roxo.	紫色地毯{desc}浸透紫色。	紫のじゅうたん{desc}紫色。 	Фиолетовый ковёр{desc}Сделан из фиолетовости.
candle	placeable	100	5	Candle{desc}Romantic. Dangerous. 	Bougie{desc}Romantique et dangereuse à la fois.	Kerze{desc}Romantisch, aber gefährlich.	Vela{desc}Romántica. Peligrosa.	Vela{desc}Romântica. Perigosa.	蜡烛{desc}浪漫、危险。	ロウソク{desc}ロマンティック。危険。	Свеча{desc}Романтично. Пожароопасно.
lantern	placeable	100	25	Lantern{desc}Old-timey lighting. 	Lanterne{desc}Éclairage à l'ancienne.	Laterne{desc}Beleuchtung auf die altmodische Art.	Farol{desc}Fuente de luz antigua.	Lampião{desc}Iluminação à moda antiga.	灯笼{desc}旧时用于照明。	ランタン{desc}昔なつかしい照明。	Фонарь{desc}Весьма старинный.
bookStack	placeable	100	5	Stack of Books{desc}Messy but smart. 	Pile de livres{desc}Pourrait tomber à tout moment.	Bücherstapel{desc}Unordentlich, aber voller Wissen.	Pila de libros{desc}Desordenada pero inteligente.	Pilha de Livros{desc}Bagunçada, porém inteligente.	一摞书{desc}杂乱但蕴藏智慧。	本の山{desc}散らかっているけれど小粋。	Стопка книг{desc}Культурный беспорядок.
gramophone	placeable	100	50	Gramophone{desc}Great-great-grandma vibes. 	Phonographe{desc}Comme chez les arrière-arrière-grands-parents.	Grammofon{desc}Urgroßmutter-Vibes.	Gramófono{desc}Podría haber pertenecido a tu tatarabuela.	Vitrola{desc}Aquele clima de tataravó.	留声机{desc}仿若曾祖母的陪伴。	蓄音機{desc}超かなりおばあちゃんっぽい。	Граммофон{desc}Прапрабабушкина энергетика.
chairCozy	placeable	100	10	Cozy Chair{desc}Well-loved. 	Fauteuil douillet{desc}On est bien dedans.	Bequemer Stuhl{desc}Sehr beliebt.	Silla cómoda{desc}Entrañable.	Cadeira Aconchegante{desc}Xodozinho.	舒适椅子{desc}备受喜爱的好物。	快適なイス{desc}最高。	Уютный стул{desc}Самый любимый.
couchCozy	placeable	100	25	Cozy Couch{desc}Second-hand. 	Canapé confortable{desc}De seconde main.	Bequemes Sofa{desc}Aus zweiter Hand.	Sofá cómodo{desc}De segunda mano.	Sofá Aconchegante{desc}De segunda mão.	舒适沙发{desc}二手货。	快適なカウチ{desc}中古。	Уютный диван{desc}Слегка подержанный.
fridge	placeable	100	50	Fridge{desc}Cold cupboard. 	Réfrigérateur{desc}Placard où il fait froid.	Kühlschrank{desc}Kalter Schrank.	Nevera{desc}Despensa fría.	Geladeira{desc}Armário refrigerado.	冰箱{desc}冷藏柜。	冷蔵庫{desc}冷たい戸棚。	Холодильник{desc}Холодный шкаф.
openBook	placeable	100	20	Open Book{desc}Disrupted reading. 	Livre ouvert{desc}Lecture interrompue.	Offenes Buch{desc}Unterbrochene Lektüre.	Libro abierto{desc}Lectura interrumpida.	Livro Aberto{desc}Leitura interrompida.	翻开的书{desc}阅读中断。	開いた本{desc}読みかけ。	Раскрытая книга{desc}Прерванное чтение.
yellowCushion	placeable	100	5	Yellow Cushion{desc}Sunshiney seating. 	Coussin jaune{desc}Confort et couleur.	Gelbes Kissen{desc}Sitzgelegenheit mit Sonnenflair.	Cojín amarillo{desc}Asiento soleado.	Almofada Amarela{desc}Assento radiante.	黄色垫子{desc}阳光座位。	きいろのクッション{desc}太陽のようなクッション。	Жёлтая подушка{desc}Солнечная сидушка.
standingLamp	placeable	100	20	Standing Lamp{desc}...Rablit? 	Lampe sur pied{desc}C'est un lampin ?	Stehlampe{desc}... Meister Lampe?	Lámpara de pie{desc}¿Eres tú..., Rablit?	Luminária de Piso{desc}... Rablit, é você?	立式灯{desc}……发光兔？	スタンドランプ{desc}…ラブリット？	Напольная лампа{desc}...Зайчик?
laundryBasket	placeable	100	5	Laundry Basket{desc}Dirty socks! 	Panier à linge{desc}Ça sent les chaussettes sales !	Wäschekorb{desc}Dreckige Socken!	Cesta de la ropa sucia{desc}¡Calcetines apestosos!	Cesto de Roupas{desc}Meias sujas!	洗衣篮{desc}脏袜子！	洗濯かご{desc}きたないソックス！	Корзина для белья{desc}Грязные носки!
slippers	placeable	100	1	Slippers{desc}Toasty feetsies. 	Pantoufles{desc}Pour avoir les petons bien au chaud.	Pantoffeln{desc}Warme Füße.	Zapatillas{desc}Para tener los pies calentitos.	Chinelos{desc}Pezinhos quentinhos.	拖鞋{desc}小脚丫暖烘烘的。	スリッパ{desc}快適な暖かさの足カバー。	Тапочки{desc}Теплые лапки.
tableHerbalist	placeable	100	10	Herbalist Table{desc}Plan plants. 	Table d'herboriste{desc}Pour bichonner ses plantes.	Herbalsitentisch{desc}Für die Arbeit mit Pflanzen.	Mesa de herborista{desc}Planificación de plantas.	Mesa de Herbalista{desc}Planos pra plantas.	草药师台{desc}植物计划。	植物学者のテーブル{desc}植物の計画を立てよう。	Стол травника{desc}Растить растения.
TV	placeable	100	50	TV{desc}What's on? 	Télévision{desc}Qu'est-ce qu'on regarde, ce soir ?	TV{desc}Was läuft so?	Tele{desc}¿Qué ponen hoy?	Televisão{desc}Que que tá passando?	电视机{desc}在播什么节目？	テレビ{desc}何がやっているかな？	Телевизор{desc}Что показывают?
hutchWhite	placeable	100	10	White Hutch{desc}Cute storage! 	Vaisselier blanc{desc}Un meuble de rangement charmant !	Weißer Tellerschrank{desc}Süßer Geschirrschrank.	Aparador blanco{desc}¡Un mueble precioso!	Cristaleira Branca{desc}Armazenagem fofinha.	白色橱柜{desc}可爱的储物柜！	白の戸棚{desc}かわいい収納！	Белый буфет{desc}Милый шкафчик!
stoolPink	placeable	100	5	Pink Stool{desc}Adorable tripod. 	Tabouret rose{desc}Joli tripode.	Rosa Hocker{desc}Entzückender Dreifuß.	Taburete rosa{desc}Muy cuqui.	Banquinho Cor-de-Rosa{desc}Tripé lindinho.	粉色凳{desc}惹人爱的三角凳。	ピンクのスツール{desc}かわいらしい三脚。	Розовый столик{desc}Такой очаровательный.
vanity	placeable	100	10	Vanity{desc}It's you! 	Coiffeuse{desc}Miroir, mon beau miroir...	Schminkkommode{desc}Du bist es!	Tocador{desc}¡Pero si eres tú!	Penteadeira{desc}Vaidose, eu?!	梳妆台{desc}是你耶！	化粧台{desc}君だ！	Туалетный столик{desc}Симпатяга!
bedDouble	placeable	100	25	Double Bed{desc}More room. 	Lit à deux places{desc}Plus spacieux.	Doppelbett{desc}Mehr Platz.	Cama doble{desc}Más espacio.	Cama de Casal{desc}Mais espaço.	双人床{desc}更宽敞。	ダブルベッド{desc}さらに広い。	Двуспальная кровать{desc}Больше места.
chairWindsor	placeable	100	5	Windsor Chair{desc}Fancy seating. 	Siège Windsor{desc}L'élégance à l'état brut.	Windsor-Stuhl{desc}Schicke Sitzgelegenheit.	Silla Windsor{desc}Una silla elegante.	Poltrona Windsor{desc}Chiquérrima.	温莎椅{desc}豪华座椅。	ウィンザーのイス{desc}オシャレなイス。	Стул Виндзор{desc}Изысканное сиденье.
lifeSaver	placeable	100	5	Life Saver{desc}Don't drown! 	Bouée de sauvetage{desc}Autant éviter la noyade.	Rettungsring{desc}Nicht ertrinken!	Salvavidas{desc}¡No te ahogues!	Salva-Vidas{desc}Não se afogue!	救生物{desc}防溺水！	救命具{desc}おぼれるな！	Спасательный круг{desc}Не тони!
tableCoffeeRound	placeable	100	5	Round Coffee Table{desc}Circles rule. 	Table basse ronde{desc}Cercle vertueux ?	Runder Kaffeetisch{desc}Der Kaffee ist fertig!	Mesita de café redonda{desc}¡Cómo molan los círculos!	Mesa de Centro Redonda{desc}Quem manda são os círculos.	圆形咖啡桌{desc}圆形最棒了。	丸いコーヒーテーブル{desc}円は最高。	Круглый кофейный столик{desc}Все любят круглое.
lampBrass	placeable	100	10	Brass Lamp{desc}It's brass. 	Lampe en laiton{desc}Ne laisse pas dans le noir, et c'est tout ce qu'on lui demande.	Messinglampe{desc}Schicke Leuchte.	Lámpara de latón{desc}Es de latón.	Luminária de Latão{desc}Latão mesmo.	黄铜灯{desc}黄铜制造。	真ちゅう製のランプ{desc}真ちゅうだ。	Медная лампа{desc}Из меди, не из мёда.
paddle	placeable	100	5	Paddle{desc}Be prepared. 	Pagaie{desc}Comme un pinson.	Paddel{desc}Auf alles vorbereitet.	Remo{desc}Prepárate.	Remo{desc}Prepare-se.	浆{desc}有备无患。	オール{desc}備えよ。	Весло{desc}Будь готов.
boots	placeable	100	5	Boots{desc}Sole mates. 	Bottes{desc}Vont de pair avec des semelles.	Stiefel{desc}Stete Begleiter.	Botas{desc}¡Qué vida más arrastrada!	Botas{desc}É na sola da bota.	靴子{desc}脚掌的灵魂伴侣。	ブーツ{desc}ソールのメイト。	Ботинки{desc}Неразлучная пара.
