									
hint_eod	{key=ConfirmUI} Save & go to sleep		{key=ConfirmUI} Sauvegarder et dormir	{key=ConfirmUI} Speichern & schlafen gehen	{key=ConfirmUI} Guardar e irse a dormir	{key=ConfirmUI} Salvar e ir dormir	{key=ConfirmUI} 保存并去睡觉	{key=ConfirmUI} セーブして眠る	{key=ConfirmUI} Сохранить и закончить день
hint_eod_scroll	{key=UpDown, mouse=Wheel} Navigate; {key=ConfirmUI} Save & go to sleep		{key=UpDown, mouse=Wheel} Parcourir; {key=ConfirmUI} Sauvegarder et dormir	{key=UpDown, mouse=Wheel} Navigieren; {key=ConfirmUI} Speichern & schlafen gehen	{key=UpDown, mouse=Wheel} Navegar; {key=ConfirmUI} Guardar e irse a dormir	{key=UpDown, mouse=Wheel} Navegar; {key=ConfirmUI} Salvar e ir dormir	{key=UpDown, mouse=Wheel} 导航; {key=ConfirmUI}保存并去睡觉	{key=UpDown, mouse=Wheel} 移動; {key=ConfirmUI} セーブして眠る	{key=UpDown, mouse=Wheel} Навигация; {key=ConfirmUI} Сохранить и закончить день
									
									
									
hint_statue_interact	{key=Confirm, mouse=RB, touch=Tap} Admire		{key=Confirm, mouse=RB, touch=Tap} Admirer	{key=Confirm, mouse=RB, touch=Tap} Anbeten	{key=Confirm, mouse=RB, touch=Tap} Admirar	{key=Confirm, mouse=RB, touch=Tap} Admirar	{key=Confirm, mouse=RB, touch=Tap}赞赏	{key=Confirm, mouse=RB, touch=Tap} 敬服	{key=Confirm, mouse=RB, touch=Tap} Воздать почесть
hint_whistle_hold	{id=whistle_hold, key=Use, mouse=LB} Hold to whistle		{id=whistle_hold, key=Use, mouse=LB} Maintenir pour jouer de la flûte	{id=whistle_hold, key=Use, mouse=LB} Halten zum Pfeifen	{id=whistle_hold, key=Use, mouse=LB} Mantén pulsado para silbar	{id=whistle_hold, key=Use, mouse=LB} Segure para assobiar	{id=whistle_hold, key=Use, mouse=LB}长按以吹口哨	{id=whistle_hold, key=Use, mouse=LB} 長押しで吹く	{id=whistle_hold, key=Use, mouse=LB} (удерж.) Свистеть
									
									
hint_settings_screen_with_reset	{key=SpecialAction} Reset; {key=Esc} Exit		{key=SpecialAction} Réinitialiser; {key=Esc} Quitter	{key=SpecialAction} Zurücksetzen; {key=Esc} Verlassen	{key=SpecialAction} Restablecer; {key=Esc} Salir	{key=SpecialAction} Reiniciar; {key=Esc} Sair	{key=SpecialAction} 重置; {key=Esc} 退出	{key=SpecialAction} リセット; {key=Esc} 終了	{key=SpecialAction} Сбросить; {key=Esc} Выход
hint_settings_screen_gamepad_with_reset	{gamepad_only=LStick} Navigate; {gamepad_only=DPad} Adjust values; {gamepad_only=X} Reset; {key=Esc} Exit		{gamepad_only=LStick} Parcourir; {gamepad_only=DPad} Ajuster les valeurs; {gamepad_only=X} Réinitialiser; {key=Esc} Quitter	{gamepad_only=LStick} Navigieren; {gamepad_only=DPad} Werte anpassen; {gamepad_only=X} Zurücksetzen; {key=Esc} Verlassen	{gamepad_only=LStick} Navegar; {gamepad_only=DPad} Ajustar valores; {gamepad_only=X} Restablecer; {key=Esc} Salir	{gamepad_only=LStick} Navegar; {gamepad_only=DPad} Ajustar valores; {gamepad_only=X} Reiniciar; {key=Esc} Sair	{gamepad_only=LStick} 导航; {gamepad_only=DPad} 调整值; {gamepad_only=X} 重置; {key=Esc} 退出	{gamepad_only=LStick} 移動; {gamepad_only=DPad} 数の変更; {gamepad_only=X} リセット; {key=Esc} 終了	{gamepad_only=LStick} Навигация; {gamepad_only=DPad} Изменить значения; {gamepad_only=X} Сбросить; {key=Esc} Выход
									
hint_settings_noadjust_gamepad	{gamepad_only=LStick} Navigate; {key=Esc} Exit		{gamepad_only=LStick} Parcourir; {key=Esc} Quitter	{gamepad_only=LStick} Navigieren; {key=Esc} Verlassen	{gamepad_only=LStick} Navegar; {key=Esc} Salir	{gamepad_only=LStick} Navegar; {key=Esc} Sair	{gamepad_only=LStick} 导航; {key=Esc} 退出	{gamepad_only=LStick} 移動; {key=Esc} 終了	{gamepad_only=LStick} Навигация; {key=Esc} Выход
									
									
									
									
hint_mine_close	{key=Confirm, mouse=RB} Close mine		{key=Confirm, mouse=RB} Condamner la mine	{key=Confirm, mouse=RB} Mine schließen	{key=Confirm, mouse=RB} Cerrar mina	{key=Confirm, mouse=RB} Fechar a mina	{key=Confirm, mouse=RB} 关闭矿洞	{key=Confirm, mouse=RB} 鉱山を閉じる	{key=Confirm, mouse=RB} Закрыть шахту
									
hint_crafting_workbench	{key=None, mouse=Wheel} Change tab; {key=ConfirmUI, mouse=LB} Craft; {key=Esc} Exit		{key=None, mouse=Wheel} Changer d'onglet; {key=ConfirmUI, mouse=LB} Fabriquer; {key=Esc} Quitter	{key=None, mouse=Wheel} Reiter wechseln; {key=ConfirmUI, mouse=LB} Herstellen; {key=Esc} Verlassen	{key=None, mouse=Wheel} Cambiar pestaña; {key=ConfirmUI, mouse=LB} Fabricar; {key=Esc} Salir	{key=None, mouse=Wheel} Alternar aba; {key=ConfirmUI, mouse=LB} Criar; {key=Esc} Sair	{key=None, mouse=Wheel} 切换选项卡; {key=ConfirmUI, mouse=LB} 制作; {key=Esc} 退出	{key=None, mouse=Wheel} タブ変更; {key=ConfirmUI, mouse=LB} 作成; {key=Esc} 終了	{key=None, mouse=Wheel} Сменить вкладку; {key=ConfirmUI, mouse=LB} Изготовить; {key=Esc} Выход
hint_crafting_workbench_gamepad	{gamepad_only=LB_RB_Rstick} Change tab; {gamepad_only=LStick} Navigate; {key=ConfirmUI} Craft; {key=Esc} Exit		{gamepad_only=LB_RB_Rstick} Changer d'onglet; {gamepad_only=LStick} Parcourir; {key=ConfirmUI, mouse=LB} Fabriquer; {key=Esc} Quitter	{gamepad_only=LB_RB_Rstick} Reiter wechseln; {gamepad_only=LStick} Navigieren; {key=ConfirmUI, mouse=LB} Herstellen; {key=Esc} Verlassen	{gamepad_only=LB_RB_Rstick} Cambiar pestaña; {gamepad_only=LStick} Navegar; {key=ConfirmUI, mouse=LB} Fabricar; {key=Esc} Salir	{gamepad_only=LB_RB_Rstick} Alternar aba; {gamepad_only=LStick} Navegar; {key=ConfirmUI, mouse=LB} Criar; {key=Esc} Sair	{gamepad_only=LB_RB_Rstick} 切换选项卡; {gamepad_only=LStick} 导航; {key=ConfirmUI, mouse=LB} 制作; {key=Esc} 退出	{gamepad_only=LB_RB_Rstick} タブ変更; {gamepad_only=LStick} 移動; {key=ConfirmUI, mouse=LB} 作成; {key=Esc} 終了	{gamepad_only=LB_RB_Rstick} Сменить вкладку; {gamepad_only=LStick} Навигация; {key=ConfirmUI} Изготовить; {key=Esc} Выход
									
									
hint_mail_single_attachment	{key=ConfirmUI, mouse=LB} Collect item; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Récupérer l'objet; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Nehmen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Recoger objeto; {key=Esc} Salir	{key=ConfirmUI, mouse=LB} Coletar item; {key=Esc} Sair	{key=ConfirmUI, mouse=LB} 收集物品; {key=Esc} 退出	{key=ConfirmUI, mouse=LB} アイテムを集める; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Забрать предмет; {key=Esc} Выход
hint_mail_attachment	{key=ConfirmUI, mouse=LB} Collect item; {key=UpDown, mouse=Wheel} Navigate; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Récupérer l'objet; {key=UpDown, mouse=Wheel} Parcourir; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Nehmen; {key=UpDown, mouse=Wheel} Navigieren; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Recoger objeto; {key=UpDown, mouse=Wheel} Navegar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB} Coletar item; {key=UpDown, mouse=Wheel} Navegar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB} 收集物品; {key=UpDown, mouse=Wheel} 导航; {key=Esc} 退出	{key=ConfirmUI, mouse=LB} アイテムを集める; {key=UpDown, mouse=Wheel} 移動; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Забрать предмет; {key=UpDown, mouse=Wheel} Навигация; {key=Esc} Выход
									
hint_spirit_storage	{key=ConfirmUI, mouse=LB}  Select;  {key=InventorySort} Sort; {key=LeftRightUpDown, mouse=Wheel} Navigate; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Sélectionner; {key=InventorySort} Trier; {key=LeftRightUpDown, mouse=Wheel} Parcourir; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Auswählen; {key=InventorySort} Sortieren; {key=LeftRightUpDown, mouse=Wheel} Navigieren; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Seleccionar; {key=InventorySort} Ordenar; {key=LeftRightUpDown, mouse=Wheel} Navegar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB}  Selecionar; {key=InventorySort} Ordenar; {key=LeftRightUpDown, mouse=Wheel} Navegar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB}  选择; {key=InventorySort} 排序; {key=LeftRightUpDown, mouse=Wheel} 导航; {key=Esc} 退出	{key=ConfirmUI, mouse=LB}  選択; {key=InventorySort} ソート; {key=LeftRightUpDown, mouse=Wheel} 移動; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Выбрать; {key=InventorySort} Сортировать; {key=LeftRightUpDown, mouse=Wheel} Навигация; {key=Esc} Выход
hint_spirit_storage_gamepad	{key=ConfirmUI, mouse=LB}  Select; {key=InventorySort} Sort; {gamepad_only=LStick} Navigate; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Sélectionner; {key=InventorySort} Trier; {gamepad_only=LStick} Parcourir; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Auswählen; {key=InventorySort} Sortieren; {gamepad_only=LStick} Navigieren; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Seleccionar; {key=InventorySort} Ordenar; {gamepad_only=LStick} Navegar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB}  Selecionar; {key=InventorySort} Ordenar; {gamepad_only=LStick} Navegar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB}  选择; {key=InventorySort} 排序; {gamepad_only=LStick} 导航; {key=Esc} 退出	{key=ConfirmUI, mouse=LB}  選択; {key=InventorySort} ソート; {gamepad_only=LStick} 移動; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Выбрать; {key=InventorySort} Сортировать; {gamepad_only=LStick} Навигация; {key=Esc} Выход
									
									
hint_quick_wheel	{key=MenuLeft_MenuRight} Switch wheels;  {key=LeftRight, mouse=Wheel} Configure; {key=12345678} Select slot; {key=ConfirmUI, mouse=LB} Confirm		{key=MenuLeft_MenuRight} Changer de roue; {key=LeftRight, mouse=Wheel} Configurer; {key=12345678} Sélectionner; {key=ConfirmUI, mouse=LB} Confirmer	{key=MenuLeft_MenuRight} Rad wechseln; {key=LeftRight, mouse=Wheel} Konfigurieren; {key=12345678} Auswählen; {key=ConfirmUI, mouse=LB} Bestätigen	{key=MenuLeft_MenuRight} Cambiar ruedas; {key=LeftRight, mouse=Wheel} Configurar; {key=12345678} Seleccionar; {key=ConfirmUI, mouse=LB} Confirmar	{key=MenuLeft_MenuRight} Trocar roda de atalhos; {key=LeftRight, mouse=Wheel} Configurar; {key=12345678} Selecionar; {key=ConfirmUI, mouse=LB} Confirmar	{key=MenuLeft_MenuRight} 切换轮盘; {key=LeftRight, mouse=Wheel} 装配;  {key=12345678} 选择; {key=ConfirmUI, mouse=LB} 确认	{key=MenuLeft_MenuRight} ホイール切り替え; {key=LeftRight, mouse=Wheel} 設定;  {key=12345678} 選択; {key=ConfirmUI, mouse=LB} OK	{key=MenuLeft_MenuRight} Сменить меню;  {key=LeftRight, mouse=Wheel} Настроить;  {key=12345678} Выбрать слот; {key=ConfirmUI, mouse=LB} Подтвердить
hint_quick_wheel_gamepad	{gamepad_only=LStick} Switch wheels;  {gamepad_only=RStick} Select slot;  {gamepad_only=DPad} Configure;  {gamepad_only=B} Cancel		{gamepad_only=LStick} Changer de roue;  {gamepad_only=DPad} Configurer; {gamepad_only=RStick} Sélectionner; {gamepad_only=B} Annuler	{gamepad_only=LStick} Rad wechseln;  {gamepad_only=DPad} Konfigurieren; {gamepad_only=RStick} Auswählen; {gamepad_only=B} Abbrechen	{gamepad_only=LStick} Cambiar ruedas;  {gamepad_only=DPad} Configurar; {gamepad_only=RStick} Seleccionar; {gamepad_only=B} Cancelar	{gamepad_only=LStick} Trocar roda de atalhos;  {gamepad_only=DPad} Configurar;  {gamepad_only=RStick} Selecionar;  {gamepad_only=B} Cancelar	{gamepad_only=LStick} 切换轮盘;  {gamepad_only=DPad} 装配;  {gamepad_only=RStick} 选择;  {gamepad_only=B} 取消	{gamepad_only=LStick} ホイール切り替え;  {gamepad_only=DPad} 設定;  {gamepad_only=RStick} 選択;  {gamepad_only=B} キャンセル	{gamepad_only=LStick} Сменить меню;  {gamepad_only=RStick} Выбрать слот;  {gamepad_only=DPad} Настроить;  {gamepad_only=B} Отмена
									
hint_saveload_load	{key=ConfirmUI, mouse=DoubleClick} Load slot; {key=SpecialAction} Delete slot; {key=Esc} Exit		{key=ConfirmUI, mouse=DoubleClick} Charger la partie; {key=SpecialAction} Supprimer la partie; {key=Esc} Quitter	{key=ConfirmUI, mouse=DoubleClick} Platz laden; {key=SpecialAction} Platz löschen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=DoubleClick} Cargar ranura; {key=SpecialAction} Eliminar ranura; {key=Esc} Salir	{key=ConfirmUI, mouse=DoubleClick} Carregar espaço; {key=SpecialAction} Apagar espaço; {key=Esc} Sair	{key=ConfirmUI, mouse=DoubleClick} 读取存档;{key=SpecialAction} 删除存档;{key=Esc} 退出	{key=ConfirmUI, mouse=DoubleClick} スロット読み込み; {key=SpecialAction} スロット削除; {key=Esc} 終了	{key=ConfirmUI, mouse=DoubleClick} Загрузить сохранение; {key=SpecialAction} Удалить сохранение; {key=Esc} Выход
hint_saveload_load_gamepad	{gamepad_only=LStick} Navigate; {key=ConfirmUI, mouse=DoubleClick} Load slot; {gamepad_only=Y} Delete slot; {key=Esc} Exit		{key=ConfirmUI, mouse=DoubleClick} Charger la partie; {gamepad_only=Y} Supprimer la partie; {key=Esc} Quitter	{key=ConfirmUI, mouse=DoubleClick} Platz laden; {gamepad_only=Y} Platz löschen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=DoubleClick} Cargar ranura; {gamepad_only=Y} Eliminar ranura; {key=Esc} Salir	{key=ConfirmUI, mouse=DoubleClick} Carregar espaço; {gamepad_only=Y} Apagar espaço; {key=Esc} Sair	{gamepad_only=LStick} 导引; {key=ConfirmUI, mouse=DoubleClick} 读取栏位;{gamepad_only=Y} 删除栏位;{key=Esc} 退出	{gamepad_only=LStick} 移動; {key=ConfirmUI, mouse=DoubleClick} スロット読み込み; {gamepad_only=Y} スロット削除; {key=Esc} 終了	{gamepad_only=LStick} Навигация; {key=ConfirmUI, mouse=DoubleClick} Загрузить сохранение; {gamepad_only=Y} Удалить сохранение; {key=Esc} Выход
hint_gamefiles	{key=UpDown} Reorder games; {key=QuickWheel} Rename game; {key=Esc} Exit		{key=UpDown} Réorganiser les parties; {key=QuickWheel} Renommer la partie; {key=Esc} Quitter	{key=UpDown} Spiele umsortieren; {key=QuickWheel} Spiel umbenennen; {key=Esc} Verlassen	{key=UpDown} Reordenar partidas; {key=QuickWheel} Renombrar partida; {key=Esc} Salir	{key=UpDown} Reordenar jogos; {key=QuickWheel} Renomear jogo; {key=Esc} Sair	{key=UpDown} 排序游戏; {key=QuickWheel} 重命名游戏; {key=Esc} 退出	{key=UpDown} データ並び替え; {key=QuickWheel} データ改名; {key=Esc} 終了	{key=UpDown} Поменять порядок; {key=QuickWheel} Переименовать; {key=Esc} Выход
hint_gamefiles_gamepad	{gamepad_only=LStick} Navigate; {gamepad_only=DPad} Reorder games; {key=Use} Rename game; {key=Esc} Exit		{key=ConfirmUI} Sélectionner la partie; {gamepad_only=DPad} Réorganiser les parties; {key=Use} Renommer la partie; {key=Esc} Quitter	{key=ConfirmUI} Spiel auswählen; {gamepad_only=DPad} Spiele umsortieren; {key=Use} Spiel umbenennen; {key=Esc} Verlassen	{key=ConfirmUI} Seleccionar partida; {gamepad_only=DPad} Reordenar partidas; {key=Use} Renombrar partida; {key=Esc} Salir	{key=ConfirmUI} Selecionar jogo; {gamepad_only=DPad} Reordenar jogos; {key=Use} Renomear jogo; {key=Esc} Sair	{gamepad_only=LStick} 导引; {gamepad_only=DPad} 排序游戏; {key=Use} 重命名游戏; {key=Esc} 退出	{gamepad_only=LStick} 移動; {gamepad_only=DPad} データ並び替え; {key=Use} データ改名; {key=Esc} 終了	{gamepad_only=LStick} Навигация; {gamepad_only=DPad} Поменять порядок; {key=Use} Переименовать; {key=Esc} Выход
									
hint_map	{key=none, mouse=LB} Zoom; {key=Esc} Exit		{key=none, mouse=LB} Zoomer; {key=Esc} Quitter	{key=none, mouse=LB} Zoomen; {key=Esc} Verlassen	{key=none, mouse=LB} Acercar; {key=Esc} Salir	{key=none, mouse=LB} Zoom; {key=Esc} Sair	{key=none, mouse=LB} 缩放;  {key=Esc} 退出	{key=none, mouse=LB} ズーム; {key=Esc} 終了	{key=none, mouse=LB} Увеличить; {key=Esc} Выход
hint_map_gamepad	{key=ConfirmUI} Zoom; {key=Esc} Exit		{key=ConfirmUI} Zoomer; {key=Esc} Quitter	{key=ConfirmUI} Zoomen; {key=Esc} Verlassen	{key=ConfirmUI} Acercar; {key=Esc} Salir	{key=ConfirmUI} Zoom; {key=Esc} Sair	{key=ConfirmUI} 缩放; {key=Esc} 退出	{key=ConfirmUI} ズーム; {key=Esc} 終了	{key=ConfirmUI} Увеличить; {key=Esc} Выход
									
hint_inventory_frame	{key=ConfirmUI, mouse=RB} Put into frame		{key=ConfirmUI, mouse=RB} Placer dans le cadre	{key=ConfirmUI, mouse=RB} In den Rahmen legen	{key=ConfirmUI, mouse=RB} Poner en el marco	{key=ConfirmUI, mouse=RB} Colocar no porta-retratos	{key=ConfirmUI, mouse=RB} 放入框中	{key=ConfirmUI, mouse=RB}額に入れる	{key=ConfirmUI, mouse=RB} Поместить в рамку
									
hint_bottle_fill	{key=Use, mouse=LB, touch=Tap} Fill bottle		{key=Use, mouse=LB, touch=Tap} Remplir la bouteille	{key=Use, mouse=LB, touch=Tap} Flasche füllen	{key=Use, mouse=LB, touch=Tap} Llenar botella	{key=Use, mouse=LB, touch=Tap} Encher Garrafa	{key=Use, mouse=LB, touch=Tap}装满瓶子	{key=Use, mouse=LB, touch=Tap} ボトルを満たす	{key=Use, mouse=LB, touch=Tap} Набрать воду
hint_pin_unpin	{key=Confirm, mouse=LB, touch=Hold} Pin/Unpin		{key=Confirm, mouse=LB, touch=Hold} Épingler/Retirer	{key=Confirm, mouse=LB, touch=Hold} Anheften/Losheften	{key=Confirm, mouse=LB, touch=Hold} Anclar/Desanclar	{key=Confirm, mouse=LB, touch=Hold} Fixar/Desafixar	{key=Confirm, mouse=LB, touch=Hold}标记/清除	{key=Confirm, mouse=LB, touch=Hold} 固定/固定解除	{key=Confirm, mouse=LB, touch=Hold} Прикрепить/Открепить
hint_pin_unpin_gamepad	{key=ConfirmUI} Pin/Unpin		{key=ConfirmUI} Épingler/Retirer	{key=ConfirmUI} Anheften/Losheften	{key=ConfirmUI} Anclar/Desanclar	{key=ConfirmUI} Fixar/Desafixar	{key=ConfirmUI}标记/清除	{key=ConfirmUI} 固定/固定解除	{key=ConfirmUI} Прикрепить/Открепить
									
hint_place_toggle	{key=Use, mouse=LB} Place; {key=Confirm, mouse=RB} Toggle		{key=Use, mouse=LB} Placer; {key=Confirm, mouse=RB} Activer/Désactiver	{key=Use, mouse=LB} Platzieren; {key=Confirm, mouse=RB} Ein-/ausschalten	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Activar/Desactivar	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Ativar/Desativar	{key=Use, mouse=LB} 放置; {key=Confirm, mouse=RB} 切换	{key=Use, mouse=LB} 設置; {key=Confirm, mouse=RB} 切り替え	{key=Use, mouse=LB} Установить; {key=Confirm, mouse=RB} Переключить
hint_place_toggle_gamepad	{key=Confirm} Place; {key=Use} Toggle; {gamepad_only=RStick} Adjust		{key=Confirm} Placer; {key=Use} Activer/Désactiver; {gamepad_only=RStick} Ajuster	{key=Confirm} Platzieren; {key=Use} Ein-/ausschalten; {gamepad_only=RStick} Anpassen	{key=Confirm} Colocar; {key=Use} Activar/Desactivar; {gamepad_only=RStick} Ajustar	{key=Confirm} Colocar; {key=Use} Ativar/Desativar; {gamepad_only=RStick} Ajustar	{key=Confirm} 放置; {key=Use} 切换; {gamepad_only=RStick} 调整	{key=Confirm} 設置; {key=Use} 切り替え; {gamepad_only=RStick} 調整	{key=Confirm} Установить; {key=Use} Переключить; {gamepad_only=RStick} Подвинуть
hint_placeable_toggle	{key=Confirm, mouse=RB} Toggle		{key=Confirm, mouse=RB} Activer/Désactiver	{key=Confirm, mouse=RB} Ein-/ausschalten	{key=Confirm, mouse=RB} Activar/Desactivar	{key=Confirm, mouse=RB} Ativar/Desativar	{key=Confirm, mouse=RB} 切换	{key=Confirm, mouse=RB} 切り替え	{key=Confirm, mouse=RB} Переключить
hint_placeable_toggle_pickup	{key=Confirm, mouse=RB} Toggle; {id=pickup, key=SpecialAction, mouse=MB} Hold to pick up		{key=Confirm, mouse=RB} Activer/Désactiver; {id=pickup, key=SpecialAction, mouse=MB} Maintenir pour prendre	{key=Confirm, mouse=RB} Ein-/ausschalten; {id=pickup, key=SpecialAction, mouse=MB} Halten zum Aufnehmen	{key=Confirm, mouse=RB} Activar/Desactivar; {id=pickup, key=SpecialAction, mouse=MB} Mantén pulsado para coger	{key=Confirm, mouse=RB} Ativar/Desativar; {id=pickup, key=SpecialAction, mouse=MB} Segure para pegar	{key=Confirm, mouse=RB} 切换; {id=pickup, key=SpecialAction, mouse=MB} 长按以拾取	{key=Confirm, mouse=RB} 切り替え; {id=pickup, key=SpecialAction, mouse=MB} 長押しで拾得	{key=Confirm, mouse=RB} Переключить; {id=pickup, key=SpecialAction, mouse=MB} (удерж.) Подобрать
									
									
hint_select_exit	{key=ConfirmUI, mouse=LB}  Select; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Sélectionner; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Auswählen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Seleccionar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB}  Selecionar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB}  选择; {key=Esc} 退出	{key=ConfirmUI, mouse=LB}  選択; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Выбрать; {key=Esc} Выход
hint_select_skipexit	{key=ConfirmUI, mouse=LB}  Select; {key=Esc} Skip and exit		{key=ConfirmUI, mouse=LB} Sélectionner; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Auswählen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Seleccionar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB}  Selecionar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB}  选择; {key=Esc} 退出	{key=ConfirmUI, mouse=LB}  選択; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Выбрать; {key=Esc} Выход
									
hint_crafting_workbench_touch	{key=Confirm, touch=Hold} Craft		{key=Confirm, touch=Hold} Fabriquer	{key=Confirm, touch=Hold} Herstellen	{key=Confirm, touch=Hold} Fabricar	{key=Confirm, touch=Hold} Criar	{key=Confirm, touch=Hold} 制作	{key=Confirm, touch=Hold} 作成	{key=Confirm, touch=Hold} Изготовить
hint_crafting_craft_touch	{key=ConfirmUI, touch=Hold} Craft		{key=ConfirmUI, touch=Hold} Fabriquer	{key=ConfirmUI, touch=Hold} Herstellen	{key=ConfirmUI, touch=Hold} Fabricar	{key=ConfirmUI, touch=Hold} Criar	{key=ConfirmUI, touch=Hold} 制作	{key=ConfirmUI, touch=Hold} 作成	{key=ConfirmUI, touch=Hold} Изготовить
hint_crafting_start_touch		intentionally empty							
hint_settings_screen_touch		intentionally empty							
hint_quests		intentionally empty							
hint_select_touch		intentionally empty							
hint_dialogue_skip_touch		intentionally empty							
hint_title_touch		intentionally empty							
	// using ID to call function								
hint_harvest_touch	{id=harvest_crop, touch=Hold} Harvest crop		{id=harvest_crop, touch=Hold} Récolter la culture	{id=harvest_crop, touch=Hold} Pflanze ernten	{id=harvest_crop, touch=Hold} Recoger cultivo	{id=harvest_crop, touch=Hold} Colher	{id=harvest_crop, touch=Hold} 收割作物	{id=harvest_crop, touch=Hold} 作物の収穫	{id=harvest_crop, touch=Hold} Собрать урожай
									
									
									
									
hint_activate_hold_touch	{id=hold, key=Confirm, mouse=RB, touch=Hold} Activate		{id=hold, key=Confirm, mouse=RB, touch=Hold} Activer	{id=hold, key=Confirm, mouse=RB, touch=Hold} Aktivieren	{id=hold, key=Confirm, mouse=RB, touch=Hold} Activar	{id=hold, key=Confirm, mouse=RB, touch=Hold} Ativar	{id=hold, key=Confirm, mouse=RB, touch=Hold} 激活	{id=hold, key=Confirm, mouse=RB, touch=Hold} 起動	{id=hold, key=Confirm, mouse=RB, touch=Hold} Активировать
									
hint_menu_confirm_exit_touch									
hint_menu_confirm_cancel_touch									
hint_menu_confirm_only_touch									
hint_menu_cancel_only_touch									
hint_menu_cancel_force_touch	{string:hint_menu_cancel_only}	Show "exit" hint							
									
hint_menu_sell_touch									
hint_menu_split_touch									
									
hint_combat_cards_touch									
hint_combat_fast_toggle_touch									
hint_combat_confirm_cancel_touch									
									
									
									
hint_shop_touch	{key=ConfirmUI, mouse=RB, touch=Hold} Purchase		{key=ConfirmUI, mouse=RB, touch=Hold} Acheter	{key=ConfirmUI, mouse=RB, touch=Hold} Kaufen	{key=ConfirmUI, mouse=RB, touch=Hold} Comprar	{key=ConfirmUI, mouse=RB, touch=Hold} Comprar	{key=ConfirmUI, mouse=RB, touch=Hold} 购买	{key=ConfirmUI, mouse=RB, touch=Hold} 購入	{key=ConfirmUI, mouse=RB, touch=Hold} Купить
hint_loom_touch									
									
hint_teleporter_activate_touch	{key=Use, mouse=LB, touch=Hold} Teleport		{key=Use, mouse=LB, touch=Hold} Se téléporter	{key=Use, mouse=LB, touch=Hold} Teleportieren	{key=Use, mouse=LB, touch=Hold} Teletransportarse	{key=Use, mouse=LB, touch=Hold} Teleportar	{key=Use, mouse=LB, touch=Hold} 传送	{key=Use, mouse=LB, touch=Hold} テレポート	{key=Use, mouse=LB, touch=Hold} Телепортироваться
hint_teleporter_use_touch									
									
hint_research_screen_touch									
hint_research_screen_turning_in_touch									
									
