Code	Day	Controls	EN	FR	DE	ES	BR	CN	JP	RU
hint57			Tobin sells special lures to catch specific fish	Tobin vend des hameçons spéciaux permettant de pêcher des poissons spécifiques.	Tobin verkauft spezielle Köder, um besondere Fische zu fangen.	Tobin vende cebos especiales para atrapar un tipo de pez en concreto.	Tobin vende iscas especiais para fisgar peixes específicos.	托宾会出售特殊的鱼饵，可用来捕捉特定的鱼。	トービンが売っている特別なルアーは、特定のサカナを釣ることができます	Тобин продаёт специальную наживку для ловли особой рыбы. 
hint58			If you let go a spirit, it will start spawning in the wild	Si tu abandonnes un esprit, il commencera à apparaître dans la nature.	Wenn du einen Geist freilässt, erscheint er in der Wildnis.	Si sueltas un espíritu, este empezará a aparecer como espíritu silvestre.	Se você libertar um Espírito, ele vai começar a aparecer pelo mundo.	如果你放走一个精灵，它就会开始在野外生成。	精霊を逃がすと、島々に出現するようになります	Если отпустить Духа на волю, они станут появляться в природе.
hint59			Sometimes villagers put random items in the Community chest	Les villageois placent parfois des objets aléatoires dans le coffre communautaire.	Manchmal legen Dorfbewohner zufällige Gegenstände in die Gemeinschaftstruhe.	A veces, la gente del pueblo mete objetos aleatorios en el cofre comunitario.	Às vezes os moradores colocam itens aleatórios no Baú Comunitário.	有时候，村民会在社区捐献箱里放一些随机物品。	村人たちはときどき、コミュニティチェストにアイテムをランダムに入れます	Иногда жители кладут различные вещи в Общий Сундук.
hint60			Upgrade your taming skills to tame higher level Spirits	Améliore tes compétences d'apprivoisement pour pouvoir apprivoiser des esprits de niveau supérieur.	Verbessere dein Zähmen, um höherstufige Geister zu zähmen.	Mejora tus habilidades de doma para domar a espíritus de mayor nivel.	Melhore suas habilidades de doma para domar Espíritos de nível mais alto.	升级驯服技能，驯服等级更高的精灵。	手なづけスキルをアップグレードすると、レベルの高い精霊を手なづけられます	Прокачивайте навыки Приручения, чтобы ловить Духов более высокого уровня.
hint61			You can send spirits to the Science Center for storage if there is no space in your Barn	Tu peux stocker tes esprits dans le labo si ton abri est plein.	Wenn in deiner Scheune kein Platz mehr ist, kannst du Geister zum Aufbewahren ins Forschungszentrum schicken.	Si no queda espacio en el establo, puedes guardar los espíritus en el centro científico.	Você pode armazenar Espíritos no Centro de Ciências caso não haja mais espaço na sua Morada.	如果你的棚屋没有空间，你可以把精灵送到科学中心，储存起来。	小屋に空きがなければ、精霊を科学センターへ送ってあずかってもらいましょう	Если Духи не помещаются в Амбар, их можно отправить на хранение в Научный Центр.
hint62			You can install multiple homes, they all lead to the same pocket dimension	Tu peux créer plusieurs maisons : elles mèneront toutes à la même dimension miniature.	Du kannst mehrere Häuser errichten, sie führen alle in die gleiche Nebendimension.	Puedes construir varias casas. Todas llevan a la misma dimensión de bolsillo.	Você pode ter várias casas, e todas elas levam à mesma dimensão compactada.	你可以打造多个住家，它们都通向同一个口袋维度。	家は複数設置できますが、中の空間は共有されます	Можно строить многочисленные дома – они все ведут в одно и то же карманное измерение. 
hint63			Carry a spare Tent with you when exploring outer islands to avoid passing out	Emporte toujours une tente quand tu explores les autres îles pour éviter de perdre connaissance.	Nimm ein zusätzliches Zelt mit, wenn du die äußeren Inseln erkundest. So verhinderst du es, ohnmächtig zu werden.	Lleva siempre una tienda contigo mientras exploras las islas exteriores para no desmayarte.	Sempre tenha uma Barraca extra em mãos quando estiver explorando as ilhas exteriores para não desmaiar.	探险外岛时，建议随身携带备用帐篷，避免晕倒。	外の島々を冒険するときには予備のテントを持ち運び、気絶するのを避けましょう	Возьмите в собой палатку, чтобы спать во время путешествий на отдалённые острова.
										
										
										
										
										
										
										
										
										
										
										
										
										
										
		//UNUSED								
		keyboard	Hold Shift to Sprint	Maintiens la touche Maj pour courir.	Halte die Umschalttaste gedrückt, um zu sprinten.	Mantén pulsada Mayús para correr.	Segure Shift para correr.	按住 Shift 键进行冲刺	「Shift」長押しでダッシュする	
		keyboard	Press ` to hide the UI	Appuie sur « ù » pour masquer l'interface.	Drücke `, um die Spielanzeigen auszublenden.	Pulsa la tecla ` para ocultar la interfaz.	Aperte ‘ para ocultar a interface do usuário.	按 ` 隐藏 UI	「`」を押すとUIが非表示になる	
										
			If you let go a spirit, it will start spawning on islands.							
										
										
										

