Code	Objectives	EN	OBJ_EN	FR	FR_OBJ	DE	DE_OBJ	ES	ES_OBJ	BR	BR_OBJ	CN	CN_OBJ	JP	OBJ_JP	RU	RU_OBJ
seeds_spring	nightShadeSeeds;mandrakeSeeds;nimbusPlantSeeds;boltSeeds;fireFlowerSeeds;hotPepperSeeds;spiritBaneSeeds;bloodRootSeeds;magicMushroomSeeds;yarrowSeeds	Spring Seed Seeker{desc}Ofelia and Gaiana want me to collect spring seeds from the outer islands so that they can propagate them.^^If I turn them in at the Conservatory, they will make them available for purchase at the General Store!	Sell Night Shade Seeds; Sell Mandrake Seeds; Sell Nimbus Plant Seeds; Sell Bolt Seeds; Sell Fire Flower Seeds; Sell Hot Pepper Seeds; Sell Spiritbane Seeds; Sell Bloodroot Seeds; Sell Magic Mushroom Seeds; Sell Yarrow Seeds	Chasse aux graines de printemps{desc}Ofélia et Gaïana veulent que je récupère des graines de printemps sur les autres îles afin qu'elles puissent les propager.^^Si je leur en apporte à la jardinerie, elles les mettront ensuite en vente à la supérette !	Vendre des graines de solanacée;Vendre des graines de mandragore;Vendre des graines de cotonnille;Vendre des graines de foudroyante;Vendre des graines de belle-de-feu;Vendre des graines de piment;Vendre des graines d'aconit tue-esprit;Vendre des graines de sanguinaire;Vendre des graines de champignon magique;Vendre des graines d'achillée	Frühlingssamensuche{desc}Ofelia und Gaiana bitten mich darum, Frühlingssamen auf den äußeren Inseln zu sammeln, um sie zu vermehren.^^Wenn ich sie beim Gewächshaus abgebe, werden sie im Krämerladen zum Verkauf angeboten.	Verkaufe Tollkirschensamen;Verkaufe Alraunensamen;Verkaufe Nimbuspflanzensamen;Verkaufe Blitzsamen;Verkaufe Feuerblumensamen;Verkaufe Chilisamen;Verkaufe Geisterbannsamen;Verkaufe Blutwurzsamen;Verkaufe Zauberpilzsamen;Verkaufe Schafgarbensamen	En busca de semillas de primavera{desc}Ofelia y Gaiana quieren que recoja algunas semillas de primavera en las islas exteriores para propagarlas.^^Si las entrego en el invernadero, ¡luego saldrán a la venta en la tienda!	Vende semillas de belladona;Vende semillas de mandrágora;Vende semillas de planta nimbo;Vende semillas de planta rayo;Vende semillas de flor de fuego;Vende semillas de chile picante;Vende semillas de espiricónito;Vende semillas de sanguinaria;Vende semillas de setas mágicas;Vende semillas de milenrama	Caça às sementes da primavera{desc}Ofélia e Gaiana querem que eu colete sementes da primavera das outras ilhas, pois assim podem propagá-las.^^Se eu as entregar no Conservatório, elas deixarão as sementes disponíveis para compra no Armazém Geral!	Vender sementes de Beladona;Vender sementes de Mandrágora;Vender sementes de Planta Nimbo;Vender sementes de Relampejo;Vender sementes de Flor de Fogo;Vender sementes de Pimenta;Vender sementes de Flor de Acônito;Vender sementes de Sanguinária;Vender sementes de Cogumelo Mágico;Vender sementes de Milefólio.	春季种子搜寻小能手{desc}奥菲莉娅和盖娅娜想让我去外岛搜集春季种子给她们用来繁殖植物。^^如果我去温室上交种子，她们会在杂货店出售这些种子！	出售夜影种子;出售曼德拉草种子;出售灵气植种子;出售霹雳种子;出售火焰花种子;出售辣椒种子;出售灵厄草种子;出售血根种子;出售魔法蘑菇种子;出售亚罗花种子	春の種探し{desc}オフェーリアとガイアナが外の島から春の種を集めてきてほしがっている。そうすれば繁殖させられるって。^^温室で渡した種は雑貨店で買えるようになるはず！	イヌホウズキの種を売る;マンドレイクの種を売る;ゴコウソウの種を売る;イナヅマの種を売る;ヒバナの種を売る;トウガラシの種を売る;セイレイドクの種を売る;アカネソウの種を売る;マホウキノコの種を売る;ノコギリソウの種を売る	Разведчик весенних семян{desc}Офелия и Гайана попросили меня собрать весенние семена с дальних островов для их разведения.^^Если я сдам семена в Оранжерею, я смогу потом покупать их в Лавке!	Продай семена Белладонны; Продай семена Мандрагоры; Продай семена Облачного Цветка; Продай семена Молниелиста; Продай семена Огнецвета; Продай семена Острого Перца; Продай семена Духогона; Продай семена Кровокорня; Продай семена Волшебного Грибочка; Продай семена Тысячелистника
seeds_summer	umbrellashroomSeeds;erdenleafSeeds;stunflowerSeeds;zaplantSeeds;hotairfruitSeeds;flamerootSeeds;pricklyplantSeeds;wingfruitSeeds;tinyflowerSeeds;eyeberrySeeds	Summer Seed Seeker{desc}Gaiana and Ofelia need me to collect summer seeds for them to propagate.^^If I turn them in at the Conservatory, Rowan will be able to sell them at the General Store!	Sell Umbrellashroom Seeds; Sell Erdenleaf Seeds; Sell Stun Flower Seeds; Sell Zaplant Seeds; Sell Hot Air Fruit Seeds; Sell Flameroot Seeds; Sell Prickly Plant Seeds; Sell Wingfruit Seeds; Sell Tiny Flower Seeds; Sell Eye Berry Seeds	Chasse aux graines d'été{desc}Gaïana et Ofélia aimeraient que je récupère des graines d'été pour qu'elles puissent les propager.^^Si je leur en apporte à la jardinerie, Rowan pourra les vendre à la supérette !	Vendre des graines de coulombrelle;Vendre des graines de floréale mundis;Vendre des graines de tournefoudre;Vendre des graines de tonnercule;Vendre des graines de flambricot;Vendre des graines de pyrofleur;Vendre des graines d'oponce;Vendre des graines de myrtaile;Vendre des graines de microfleur;Vendre des graines d'oculofruit	Sommersamensuche{desc}Ofelia und Gaiana bitten mich darum, Sommersamen zu sammeln, um sie zu vermehren.^^Wenn ich sie beim Gewächshaus abgebe, kann Rowan sie im Krämerladen verkaufen.	Verkaufe Regenschirmpilzsamen;Verkaufe Erdenblattsamen;Verkaufe Betäubungsblumensamen;Verkaufe Zapperpflanzensamen;Verkaufe Heißluftfruchtsamen;Verkaufe Feuerwurzsamen;Verkaufe Stachelpflanzensamen;Verkaufe Flügelfruchtsamen;Verkaufe Zwergblumensamen;Verkaufe Augenbeerensamen	En busca de semillas de verano{desc}Gaiana y Ofelia necesitan que recoja semillas de verano para propagarlas.^^Si las entrego en el invernadero, ¡Rowan podrá venderlas en la tienda!	Vende semillas de sombriseta;Vende semillas de hojáurea;Vende semillas de flor paralizante;Vende semillas de calambrífera;Vende semillas de fruta aerotérmica;Vende semillas de pirorraíz;Vende semillas de planta con espinas;Vende semillas de fruta alada;Vende semillas de miniflor;Vende semillas de ojibaya	Caça às sementes do verão{desc}Gaiana e Ofélia precisam que eu colete sementes do verão para propagarem.^^Se eu as entregar no Conservatório, Rowan poderá vendê-las no Armazém Geral!	Vender sementes de Sombramelo;Vender sementes Folha-da-Terra;Vender sementes Flor Paralisante;Vender sementes de Eletroplanta;Vender sementes de Aquecifruta;Vender sementes de Queimaíz;Vender sementes de Cacto;Vender sementes de Frutalada;Vender sementes de Miniflor;Vender sementes de Frutolho	夏季种子搜寻小能手{desc}奥菲莉娅和盖娅娜想让我去搜集夏季种子给她们用来繁殖植物。^^如果我去温室上交种子，罗文就可以在杂货店售卖这些种子！	出售雨伞蘑菇种子;出售埃尔登叶种子;出售眩晕花种子;出售光击植种子;出售热气果种子;出售火焰根种子;出售多刺植种子;出售翅果种子;出售小小花种子;出售眼果种子	夏の種探し{desc}ガイアナとオフェーリアが繁殖するために夏の種を集めてきてほしがっている。^^温室で渡した種はローワンが雑貨店で売ってくれるようになるはず！	カサキノコの種を売る;エルデンリーフの種を売る;スタンバナの種を売る;カツリョクソウの種を売る;ネッキノミの種を売る;カエンネッコの種を売る;トゲトゲソウの種を売る;ツバサノミの種を売る;ミニバナの種を売る;アイベリーの種を売る	Разведчик летних семян{desc}Гайана и Офелия просят меня собрать летние семена для разведения.^^Если я сдам их в Оранжерею, Роуэн сможет продавать их в своей лавке!	Продай семена Зонтогриба; Продай семена Эрденлиста; Продай семена Оглусолнуха; Продай семена Искровика; Продай семена Возд. жаркоплода; Продай семена Огненного Корня; Продай семена Колючки; Продай семена Крылатого Плода; Продай семена Маленького Цветочка; Продай семена Глазуники
seeds_fall	grumpkinSeeds;mushinSeeds;electriconeSeeds;planternSeeds;heatplantSeeds;colberrySeeds;spectreflowerSeeds;skeleplantSeeds;willowispSeeds;ghostshroomSeeds	Fall Seed Seeker{desc}Ofelia and Gaiana are looking for fall seeds now that the weather is colder.^^If I hand them in at the Conservatory, Rowan will make them available for purchase at the General Store!	Sell Grumpkin Seeds; Sell Spiky Plant Seeds; Sell Electricone Seeds; Sell Plantern Seeds; Sell Heat Plant Seeds; Sell Colberry Seeds; Sell Spectre Flower Seeds; Sell Skeleplant Seeds; Sell Willo Wisp Seeds; Sell Ghostshroom Seeds	Chasse aux graines d'automne{desc}Maintenant qu'il commence à faire plus froid, Ofélia et Gaïana sont à la recherche de graines d'automne.^^Si je leur en apporte à la jardinerie, Rowan pourra les vendre à la supérette !	Vendre des graines de citronche;Vendre des graines d'épineuse;Vendre des graines d'électricône;Vendre des graines de planterne;Vendre des graines de thermoplante;Vendre des graines de carbonibaie;Vendre des graines de fleur spectrale;Vendre des graines de squelettige;Vendre des graines de fleur follette;Vendre des graines d'ectofongus	Herbstsamensuche{desc}Ofelia und Gaiana suchen jetzt nach Herbstsamen, da es kälter wird.^^Wenn ich sie im Gewächshaus abgebe, kann Rowan sie im Krämerladen verkaufen.	Verkaufe Mürrbissamen;Verkaufe Dornenpflanzensamen;Verkaufe Elektroniensamen;Verkaufe Laterniensamen;Verkaufe Wärmepflanzensamen;Verkaufe Kaltbeerensamen;Verkaufe Geisterblumensamen;Verkaufe Skelettpflanzensamen;Verkaufe Wirrlichtsamen;Verkaufe Geisterpilzsamen	En busca de semillas de otoño{desc}Ahora que ha refrescado un poco, Ofelia y Gaiana quieren semillas de otoño.^^Si las entrego en el invernadero, ¡Rowan se encargará de que estén disponibles en la tienda!	Vende semillas de calabezón;Vende semillas de cactiplanta;Vende semillas de electropiña;Vende semillas de planterna;Vende semillas de calorífera;Vende semillas de fresquibaya;Vende semillas de flor espectral;Vende semillas de esqueleplanta;Vende semillas de fuego fatuo;Vende semillas de fantaseta	Caça às sementes do outono{desc}Ofélia e Gaiana estão procurando por sementes do outono agora que o clima está mais frio.^^Se eu as entregar no Conservatório, Rowan as deixará disponíveis para compra no Armazém Geral.	Venda sementes de Carrancabóbora; Venda sementes de Espinhenta; Venda sementes de Conelétrico; Venda sementes de Planterna; Venda sementes de Planta Térmica; Venda sementes de Gelanga; Venda sementes de Florespectro; Venda sementes de Esqueleplanta; Venda sementes de Fogo-Fátuo; Venda sementes de Fantasgumelo	秋季种子搜寻小能手{desc}天气转凉，奥菲莉娅和盖娅娜现在正在寻找秋季种子。^^如果我去温室上交种子，罗文就可以在杂货店售卖这些种子！	出售怪脸瓜种子;出售带刺植物种子;出售电球果种子;出售灯笼花种子;出售热气草种子;出售科尔莓种子;出售幽灵花种子;出售骷髅植种子;出售鬼火种子;出售幽灵蘑菇种子	秋の種探し{desc}気候が寒くなってきているから、オフェーリアとガイアナが秋の種を探している。^^温室で渡した種はローワンが雑貨店で売ってくれるようになるはず！	ムカムカボチャの種を売る;チクチクソウの種を売る;エレクトリッコーンの種を売る;プランターンの種を売る;ネツソウの種を売る;セキタンベリーの種を売る;オバケバナの種を売る;ガイコツソウの種を売る;ヤナギノタバの種を売る;ユウレイキノコの種を売る	Разведчик осенних семян{desc}Погода становится холоднее и Офелия с Гайаной собирают осенние семена.^^Если я сдам их в Оранжерею, Роуэн станет продавать из в своей Лавке!	Продай семена Вреднотыквы; Продай семена Шипастника; Продай семена Электрошишки; Продай семена Светлолиста; Продай семена Жаровника; Продай семена Синягоды; Продай семена Спектроцвета; Продай семена Скелетолиста; Продай семена Призрачной Ягоды; Продай семена Призрачного Гриба
seeds_winter	saplantSeeds;flakeflowerSeeds;bulbshroomSeeds;popcornplantSeeds;rubyplantSeeds;sweaterplantSeeds;blackpearlSeeds;iciclerootSeeds;snowdropflowerSeeds;giftplantSeeds	Winter Seed Seeker{desc}Apparently some plants thrive in winter! I'll need to collect winter seeds for Ofelia to propagate again.^^Once I do, they will make them available for purchase at the General Store!	Sell Saplant Seeds; Sell Flake Flower Seeds; Sell Bulbshroom Seeds; Sell Popcorn Plant Seeds; Sell Ruby Plant Seeds; Sell Sweater Plant Seeds; Sell Black Pearl Seeds; Sell Icicle Root Seeds; Sell Snowdrop Flower Seeds; Sell Gift Plant Seeds	Chasse aux graines d'hiver{desc}Apparemment, certaines plantes s'épanouissent en hiver ! Je dois récupérer des graines d'hiver pour qu'Ofélia et Gaïana puissent les propager.^^Ensuite, elles les mettront en vente à la supérette.	Vendre des graines de plantisève;Vendre des graines de floconia;Vendre des graines de lampignon;Vendre des graines de popcornacée;Vendre des graines de végécarlate;Vendre des graines de pulloverdure;Vendre des graines de perle noire;Vendre des graines de givracine;Vendre des graines de perce-neige;Vendre des graines de plante-cadeau	Wintersamensucher{desc}Offenbar gedeihen auch einige Pflanzen im Winter! Ich muss Wintersamen für Ofelia suchen, die sie dann vermehrt.^^Wenn ich das mache, können diese Samen im Krämerladen verkauft werden.	Verkaufe Saftpflanzensamen;Verkaufe Flockenblumensamen;Verkaufe Birnenpilzsamen;Verkaufe Popcornpflanzensamen;Verkaufe Rubinpflanzensamen;Verkaufe Pullipflanzensamen;Verkaufe Schwarzperlensamen;Verkaufe Eiszapfenwurzelsamen;Verkaufe Schneeglöckchensamen;Verkaufe Geschenkpflanzensamen	En busca de semillas de invierno{desc}¡Resulta que hay plantas que florecen en invierno! Tengo que volver a recoger semillas para que Ofelia pueda propagarlas.^^En cuanto lo haga, ¡podré comprarlas en la tienda!	Vende semillas de plantisavia;Vende semillas de copiflor;Vende semillas de bulbiseta;Vende semillas de palomitera;Vende semillas de planta rubí;Vende semillas de planta jersey;Vende semillas de perla negra;Vende semillas de raíz de témpano;Vende semillas de campanilla de invierno;Vende semillas de planta obsequio	Caça às sementes do inverno{desc}Parece que algumas plantas florescem no inverno! Preciso coletar sementes do inverno para Ofélia propagá-las de novo.^^Assim que eu fizer isso, elas deixarão as sementes disponíveis para compra no Armazém Geral!	Vender sementes de Seivadora;Vender sementes de Flor de Floco;Vender sementes de Lampamelo;Vender sementes de Milho de Pipoca;Vender sementes de Planta Rubi;Vender sementes de Planta Suéter;Vender sementes de Pérola Negra;Vender sementes de Pingente de Gelo;Vender sementes de Galanthus;Vender sementes Planta-Presente	冬季种子搜寻小能手{desc}显然有些植物在冬天才会茁壮成长！我需要为奥菲莉娅收集冬季种子，让它们再次繁殖。^^我搜集到的这些种子将会被送到杂货店售卖！	出售萨普兰种子;出售片片花种子;出售球茎菇种子;出售爆米花植物种子;出售红宝石植物种子;出售毛衣草种子;出售黑珍珠种子;出售冰锥根种子;出售落雪花种子;出售礼物植种子	冬の種探し{desc}冬によく育つ植物もあるらしい！ オフェーリアがまた繁殖させられるように、冬の種を集めなくちゃいけない。^^そうすれば雑貨店で買えるようになるはず！	ジュエキソウの種を売る;セッペンバナの種を売る;デンキュウキノコの種を売る;ポップコーンソウの種を売る;コウギョクソウの種を売る;セーターソウの種を売る;クロシンジュの種を売る;ツララネッコの種を売る;スノードロップの種を売る;オクリモノソウの種を売る	Разведчик зимних семян{desc}Удивительно, но некоторые растения отлично растут зимой! Офелия попросила собрать зимние семена для их разведения.^^Как только я это сделаю, они будут доступны в Лавке!	Продай семена Растравы; Продай семена Снежинкоцвета; Продай семена Лампиньона; Продай семена Попкорника; Продай семена Аленького Цветочка; Продай семена Травяного Свитерка; Продай семена Чёрной Жемчужины; Продай семена Сосульного Корня; Продай семена Подснежника; Продай семена Подаркоцвета
																	
blacksmith_mining	mine;ore:10	Furnace for a Friend{desc}Ferra the Blacksmith asked me to get her some copper ore. If I do, she'll teach me how to build a furnace! I think I can find some in the mines, which are found under big rocks, or in caves.	Find a mine;Sell copper ore at the Smithy	Au fourneau{desc}Ferra la forgeronne m'a demandé de lui apporter du minerai de cuivre. Ensuite, elle m'apprendra à fabriquer un fourneau ! Je crois que je peux en trouver dans les mines cachées sous de gros rochers, ou dans les donjons.	Trouver une mine;Vendre du minerai de cuivre à la forge	Ein Hochofen für einen Freund{desc}Ferra die Schmiedin hat mich gebeten, Kupfererz für sie zu besorgen. Wenn ich ihr Kupfererz bringe, zeigt sie mir, wie man einen Hochofen baut. Ich denke, ich kann welches in den Minen finden, die unter großen Felsen verborgen sind oder in Höhlen.	Finde eine Mine;Verkaufe Kupfererz in der Schmiede	Fraguando una amistad{desc}Ferra, la herrera, me ha pedido que le consiga un poco de cobre. Si lo hago, ¡me enseñará a construir una fragua! Tengo que encontrar la entrada a una mina, que suelen estar bajo rocas grandes o en cuevas. ¡Seguro que ahí hay cobre!	Encuentra una mina;Vende el cobre en la herrería	Fornalha para uma pessoa amiga{desc}Ferra, a ferreira, me pediu para arranjar um pouco de minério de cobre pra ela. Se eu fizer isso, ela me ensinará a construir uma fornalha! Acho que posso obter nas minas, que ficam embaixo de grandes rochas, ou nas cavernas.	Encontrar uma mina;Vender minério de cobre na Ferraria	朋友的锻造炉{desc}铁匠费拉让我帮她找一些铜矿石。如果我找到了给她，她就会教我建造锻造炉的方法！我应该可以在矿洞里找到一些铜矿石，矿洞通常位于大石头下或洞穴里。	找到一个矿洞;在铁匠铺卖掉铜矿石	友のためのかまど{desc}鍛冶屋のフェラーに銅鉱石を手に入れるよう頼まれた。そうしたら、かまどを作る方法を教えてくれるはず！ 銅鉱石は、大きな岩の下にある鉱山か、洞窟で見つかる。	鉱山を見つける;銅鉱石を鍛冶屋に売る	Печь для подруги{desc}Кузнец Ферра попросила меня достать ей медную руду. За это она обещала мне показать, как построить плавильную печь! Полагаю, руду можно добыть в пещерах, или в шахтах, вход в которые иногда скрыт под большими валунами.	Найди шахту;Продай медную руду в кузнице
blacksmith_furnace	furnace;ingot:3	Getting Into Metal{desc}I need to craft and install a furnace, use coal and iron ore to smelt three iron ingots, and then bring them to Ferra at the Smithy.	Craft a furnace;Sell iron ingots at the Smithy	Initiation au métal{desc}Je dois fabriquer et installer un fourneau, utiliser du charbon et du minerai de fer afin d'obtenir trois lingots de fer, puis les apporter à Ferra à la forge.	Fabriquer un fourneau;Vendre des lingots de fer à la forge	Metallverarbeitung{desc}Ich muss einen Hochofen herstellen und aufstellen, Kohle und Eisenerz zu drei Eisenbarren verschmelzen und diese dann zu Ferra in die Schmiede bringen.	Stelle einen Hochofen her;Verkaufe Eisenbarren in der Schmiede	Introducción al metal{desc}Tengo que construir e instalar una fragua, usar carbón y hierro para fundir tres lingotes de hierro y llevárselos a Ferra en la herrería.	Construye una fragua;Vende lingotes de hierro en la herrería	Metendo-se com metal{desc}Preciso criar e instalar uma fornalha, usar carvão e minério de ferro para fundir três barras de ferro, e depois levar tudo pra Ferra na Ferraria.	Criar uma fornalha;Vender barras de ferro na Ferraria	金属入门{desc}我需要制作并安装一个锻造炉，利用煤和铁矿石熔炼出三块铁锭，然后把它们带给铁匠铺的费拉。	制造一个锻造炉;在铁匠铺卖掉铁锭	金属作成{desc}かまどを作って置いたら、石炭と鉄鉱石を使って鉄のインゴットを3つ作る。そのあとは鍛冶場にいるフェラーへ持って行こう。	かまどを作る;鉄のインゴットを鍛冶屋に売る	Увлечение металлом{desc}Мне нужно изготовить и установить плавильную печь, выплавить в ней три железных слитка, используя уголь и железную руду, и принести готовые слитки Ферре в кузницу.	Создай печь;Продай железные слитки в кузнице
																	
magicman_mirror	shards:15;mirror:15	The Magic Man's Mirror{desc}Waldo has asked me to search for his memory shards and return them to him. He says he hid them in dungeons, for some reason...	Find all the memory shards;Restore the mirror	Le miroir du mage{desc}Waldo m'a demandé de retrouver ses fragments de mémoire et de les lui apporter. Il affirme les avoir cachés dans les donjons, mais il ne sait plus pourquoi...	Retrouver tous les fragments de mémoire;Restaurer le miroir	Spiegel des Magiers{desc}Waldo hat mich gebeten, nach seinen Erinnerungssplittern zu suchen und sie ihm zu bringen. Er sagt, er hätte sie aus irgendeinem Grund in Verliesen versteckt ...	Finde alle Erinnerungssplitter;Stelle den Spiegel wieder her	El espejo del mago{desc}Waldo me ha pedido que busque los fragmentos de su memoria y se los devuelva. Dice que los encondió en diferentes mazmorras, pero no recuerda por qué...	Encuentra todos los fragmentos de memoria;Restaura el espejo	O espelho do Homem Mágico{desc}O Waldo me pediu para procurar pelos seus fragmentos de memória e devolvê-los. Ele disse que os escondeu nas masmorras, por algum motivo...	Encontrar todos os fragmentos de memória;Restaurar o espelho	魔术师之镜{desc}沃尔多让我帮他找回他的记忆碎片并归还给他。他说他不得已……把记忆碎片藏在了地下城里。	找到所有记忆碎片;修复镜子	魔法使いの鏡{desc}ウォルドに記憶のカケラを探して持ってくるよう頼まれた。理由があってダンジョンの中に隠したと彼は言うけれど…	記憶のカケラをすべて見つける;鏡を修復する	Зеркало Волшебника{desc}Валдо попросил меня поискать осколки его памяти и вернуть их ему. Он говорит, что спрятал их в подземельях, но не объяснил почему...	Найди все осколки памяти;Восстанови зеркало
																	
seal_earth	seal	Obtain the Earth Seal{desc}I need to explore the Spring Temple to find the ancient Earth Seal!	Obtain the Earth Seal from the Spring temple	Obtenir le sceau de la terre{desc}Je dois explorer le temple du printemps pour trouver le sceau de la terre.	Obtenir le sceau de la terre dans le temple du printemps	Erhalte das Erdsiegel{desc}Ich muss den Frühlingstempel erkunden, um das alte Erdsiegel zu finden!	Erhalte das Erdsiegel aus dem Frühlingstempel	Consigue el Sello Terrenal{desc}¡Tengo que explorar el Templo Primaveral para encontrar el antiguo Sello Terrenal!	Consigue el Sello Terrenal en el Templo Primaveral	Obtendo o Selo da Terra{desc}Preciso explorar o Templo da Primavera para encontrar o antigo Selo da Terra!	Obter o Selo da Terra no Templo da Primavera	手握土之封印{desc}我需要去探索春神庙，找到远古的土之封印！	到春神庙取得土之封印	土の封印入手{desc}春の寺院を探索して土の封印を見つけよう！	春の寺院で土の封印を手に入れる	Найти Знак Земли{desc}Я должен найти и исследовать Храм Весны, чтобы добыть древний Знак Земли!	Найди Знак Земли в Храме Весны
seal_water	seal	Obtain the Water Seal{desc}I need to explore the Summer Temple to find the ancient Water Seal!	Obtain the Water Seal from the Summer temple	Obtenir le sceau de l'eau{desc}Je dois explorer le temple de l'été pour trouver le sceau de l'eau.	Obtenir le sceau de l'eau dans le temple de l'été	Erhalte das Wassersiegel{desc}Ich muss den Sommertempel erkunden, um das alte Wassersiegel zu finden!	Erhalte das Wassersiegel aus dem Sommertempel	Consigue el Sello Acuático{desc}¡Tengo que explorar el Templo Veraniego para encontrar el antiguo Sello Acuático!	Consigue el Sello Acuático en el Templo Veraniego	Obtendo o Selo da Água{desc}Preciso explorar o Templo do Verão para encontrar o antigo Selo da Água!	Obter o Selo da Água no Templo do Verão	手握水之封印{desc}我需要去探索夏神庙，找到远古的水之封印！	到夏神庙取得水之封印	水の封印入手{desc}夏の寺院を探索して水の封印を見つけよう！	夏の寺院で水の封印を手に入れる	Найти Знак Воды{desc}Я должен найти и исследовать Храм Лета, чтобы добыть древний Знак Воды!	Найди Знак Воды в Храме Лета
seal_poison	seal	Obtain the Poison Seal{desc}I need to explore the Fall Temple to find the ancient Poison Seal!	Obtain the Poison Seal from the Fall temple	Obtenir le sceau du poison{desc}Je dois explorer le temple de l'automne pour trouver le sceau du poison.	Obtenir le sceau du poison dans le temple de l'automne	Erhalte das Giftsiegel{desc}Ich muss den Herbsttempel erkunden, um das alte Giftsiegel zu finden!	Erhalte das Giftsiegel aus dem Herbsttempel	Consigue el Sello Venenoso{desc}¡Tengo que explorar el Templo Otoñal para encontrar el antiguo Sello Venenoso!	Consigue el Sello Venenoso en el Templo Otoñal	Obtendo o Selo do Veneno{desc}Preciso explorar o Templo do Outono para encontrar o antigo Selo do Veneno!	Obter o Selo do Veneno no Templo do Outono	手握毒之封印{desc}我需要去探索秋神庙，找到远古的毒之封印！	到秋神庙取得毒之封印	毒の封印入手{desc}秋の寺院を探索して毒の封印を見つけよう！	秋の寺院で毒の封印を手に入れる	Найти Знак Яда{desc}Я должен найти и исследовать Храм Осени, чтобы добыть древний Знак Яда!	Найди Знак Яда в Храме Осени
seal_electric	seal	Obtain the Electric Seal{desc}I need to explore the Winter Temple to find the ancient Electric Seal!	Obtain the Electric Seal from the Winter temple	Obtenir le sceau de l'électricité{desc}Je dois explorer le temple de l'hiver pour trouver le sceau de l'électricité.	Obtenir le sceau de l'électricité dans le temple de l'hiver	Erhalte das Elektrosiegel{desc}Ich muss den Wintertempel erkunden, um das alte Elektrosiegel zu finden!	Erhalte das Elektrosiegel aus dem Wintertempel	Consigue el Sello Eléctrico{desc}¡Tengo que explorar el Templo Invernal para encontrar el antiguo Sello Eléctrico!	Consigue el Sello Eléctrico en el Templo Invernal	Obtendo o Selo Elétrico{desc}Preciso explorar o Templo do Inverno para encontrar o antigo Selo Elétrico!	Obter o Selo Elétrico no Templo do Inverno	手握电之封印{desc}我需要去探索冬神庙，找到远古的电之封印！	到冬神庙取得电之封印	雷の封印入手{desc}冬の寺院を探索して雷の封印を見つけよう！	冬の寺院で雷の封印を手に入れる	Найти Знак Электричества{desc}Я должен найти и исследовать Храм Зимы, чтобы добыть древний Знак Электричества!	Найди Знак Электричества в Храме Зимы
																	
rift	close_rift	Close the Rift{desc}I have collected the four ancient and magic Seals required to close the Rift. Waldo says that I must place them on the four pedestals around the Rift.	Use the Seals to Close the Rift	Refermer la faille{desc}J'ai trouvé les quatre sceaux magiques requis pour refermer la faille. Waldo dit que je dois les placer sur les quatre piédestaux autour de la faille.	Utiliser les sceaux pour refermer la faille	Schließe den Riss{desc}Ich habe die vier alten, magischen Siegel gesammelt, die zum Schließen des Risses benötigt werden. Waldo sagt, dass ich sie auf den vier Sockeln rund um den Riss platzieren muss.	Schließe mit den Siegeln den Riss	Cierra la grieta{desc}Ya he conseguido los cuatro antiguos sellos mágicos que se necesitan para cerrar la grieta. Waldo dice que tengo que colocarlos en los cuatro pedestales que la rodean.	Usa los sellos para cerrar la grieta	Fechando a Fenda{desc}Já coletei os quatro Selos antigos e mágicos necessários para fechar a Fenda. O Waldo disse que eu deveria colocá-los nos quatro suportes ao redor da Fenda.	Usar os Selos para fechar a Fenda	关闭裂缝{desc}我已经收集到了关闭裂缝所需的四个远古的魔法封印。沃尔多说我必须把四个封印放在裂缝周围的四个基座上。	使用封印关闭裂缝	裂け目の封印{desc}裂け目をふさぐのに必要な古代の魔法の封印を4つ全部集めた。ウォルドが言うには、裂け目の周りにある台へ置かないといけないらしい。	封印を使って裂け目をふさぐ	Закрыть Разлом между мирами{desc}Я собрал четыре древних магических знака, необходимые, чтобы закрыть Разлом между мирами. Валдо говорит, что мне нужно поместить их на четыре пьедестала вокруг Разлома.	Используй Знаки, чтобы закрыть Разлом между мирами
																	
